NOMBRE,LONG_KM_EN,RUTA_NRO,ANCHO,TIPO,LONG_MTS
RAMAL LA PATRIA,115,,12,1,114996
RAMAL RUTA 8 - COLONIA INDEPENDENCIA,25,,12,1,25245
RUTA A GENERAL DÍAZ,179,,0,3,178811
RAMAL A YHÚ,51,,0,1,51224
RUTA ACCESO SUR,35,,0,1,34883
CONECTOR,0,,0,1,218
CONECTOR,0,,0,1,117
CONECTOR,0,,0,1,131
CONECTOR,0,,0,1,346
AYOLAS – YACYRETÃ,19,,0,1,18872
GENERAL BERNARDINO CABALLERO,111,5,12,1,110807
RAMAL RUTA 7 - MAURICIO JOSE TROCHE,31,,0,1,30899
RAMAL RUTA 1 - AYOLAS,44,,0,1,44338
RAMAL CORONEL OVIEDO - SAN ESTANISLAO,49,,12,1,49447
GENERAL JOSÉ EDUVIGIS DÍAZ,136,4,12,1,135806
LAS RESIDENTAS,328,10,12,1,327933
GENERAL ELIZARDO AQUINO,9,3,12,1,8863
VICE PRESIDENTE SÁNCHEZ,279,12,12,3,278721
RUTA PEDRO JUAN CABALLERO – CAPITÁN BADO,112,,12,3,111692
RAMAL SANTA ROSA DEL MBUTUY - JASY KAÑY,71,,12,1,70769
DR. CARLOS ANTONIO LÓPEZ,630,9,12,1,629874
DOCTOR BLAS GARAY,251,8,12,1,250682
JUANA DE LARA,75,11,12,1,74723
RAMAL PARAGUARÍ - VILLARRICA,81,,12,1,80858
RUTA GENERAL DÍAZ - AYOLAS,163,,12,3,163391
RAMAL ISLA UMBÚ - PASO DE PATRIA,48,4,12,3,48134
RUTA POZO COLORADO - PUERTO MILITAR,145,,12,1,145096
CAAGUAZÚ - REPATRIACIÓN,17,,0,1,16625
DOCTOR JUAN LEÓN MALLORQUÍN,247,6,12,1,247349
RUTA SUPERCARRETERA,164,,12,1,163778
RUTA 13,50,13,12,1,49802
GENERAL ELIZARDO AQUINO,136,3,12,1,136291
MARISCAL FRANCISCO SOLANO LÓPEZ,353,1,12,1,352578
RAMAL RUTA 9 - GENERAL DÍAZ,145,,12,3,144688
MARISCAL JOSÉ FÉLIX ESTIGARRIBIA,119,2,12,1,119162
GENERAL BERNARDINO CABALLERO,102,5,12,1,102462
GENERAL ELIZARDO AQUINO,77,3,12,1,76628
GENERAL ELIZARDO AQUINO,183,3,12,1,183475
RAMAL CORONEL OVIEDO - SAN ESTANISLAO,44,,12,1,44155
RUTA 13,39,13,12,1,39360
DOCTOR GASPAR RODRÍGUEZ DE FRANCIA,195,7,12,1,194802
DR. CARLOS ANTONIO LÓPEZ,130,9,12,3,129851
RUTA PROYECTO 1418,61,,12,3,60715
RUTA GRANEROS DEL SUR,96,,12,1,96474
RUTA GRANEROS DEL SUR,23,,12,1,23054
RUTA PRESIDENTE FRANCO - LOS CEDRALES,25,,12,1,24676
RAMAL RUTA 1 - SAN COSME Y DAMIÁN,26,,0,1,25533
DR. CARLOS ANTONIO LÓPEZ,15,9,12,1,15009
RUTA  A PUERTO FALCÓN,20,,12,1,20354
MARISCAL ESTIGARRIBIA,14,,12,1,13510
AVENIDA DR. FERNANDO DE LA MORA,6,,12,1,5888
AVENIDA MARISCAL LÓPEZ,1,,12,1,919
ACCESO A FUERTE OLIMPO,65,,12,3,64993
RUTA FILADELFIA – BAHÍA NEGRA,115,,12,3,115427
RUTA FILADELFIA – BAHÍA NEGRA,292,,12,3,292009
JUANA DE LARA,14,11,12,1,14158
JUANA DE LARA,138,11,12,1,137948
ACCESO A KARAPÃ,4,,8,1,3941
ACCESO A KARAPÃ,2,,8,1,1996
ACCESO A BELÉN,10,,8,1,10408
ACCESO A LOMA PLATA,24,,12,1,23578
LOMA PLATA - FILADELFIA,22,,12,1,22339
ACCESO A FILADELFIA,18,,12,1,17899
ACCESO A NEULAND,23,,12,1,22765
ACCESO A CARMELO PERALTA,65,,12,3,65428
RUTA FILADELFIA - PUERTO CASADO,89,,12,3,88792
ACCESO A ITAKYRY,28,,8,1,28427
ACCESO A SAN ALBERTO,5,,12,1,4685
RUTA SUPERCARRETERA,8,,12,1,8167
AVENIDA REPÚBLICA DEL PERÚ,7,,12,1,6685
JOSÉ MARTÍ,1,,12,1,1049
AVENIDA SAN JOSÉ,3,,12,1,2734
INTENDENTE AMADO BENÍTEZ GAMARRA,5,,12,1,4627
LOS YERBALES,2,,12,1,1992
AVENIDA DEL LAGO,1,,12,1,1072
CALLE 10,6,,12,1,6467
RUTA INDEPENDENCIA - PASO YOBAI,22,,12,2,21716
RUTA  A SAN JUAN NEPOMUCENO,52,,12,1,52314
RAMAL SAN PEDRO DEL PARANÁ - LA PAZ,44,,8,1,43600
RUTA YACYRETÃ - SAN COSME Y DAMIÁN,46,,8,1,45742
ACCESO A SAN SOLANO,24,,8,1,23559
ACCESO A SANTA ROSA,4,,12,1,4003
ACCESO A SANTA MARÍA,12,,12,1,11812
RUTA CARAPEGUÁ - ACAHAY,21,,12,1,21040
RUTA ACAHAY - LA COLMENA,29,,12,1,28889
RUTA ACAHAY – YBYCUÍ,16,,12,1,16468
RAMAL YBYCUÍ - LA ROSADA,24,,12,1,24323
RUTA YBYCUÍ - MBUYAPEY,31,,12,1,30597
RUTA YAGUARÓN – PIRAYÚ,10,,12,1,10117
RAMAL RUTA 2 – PIRAYÚ,20,,8,1,19608
RUTA YPACARAÍ - PIRAYÚ,13,,12,1,12715
RAMAL RUTA 2 - SAN BERNARDINO,10,,8,1,9845
RAMAL CAACUPÉ PIRAYÚ,7,,12,1,6930
RUTA YPACARAÍ - SAN BERNARDINO,10,,12,1,9920
RUTA SAN BERNARDINO - ALTOS,8,,12,1,8269
RUTA LUQUE - SAN BERNARDINO,32,,0,1,31692
RUTA A ATYRÁ,13,,12,1,12602
