"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","CLAVE_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","CLAVE_y","longitude","latitude"
"00","ASUNCIÓN","00","ASUNCIÓN","0000","POINT (-6412064.492214794 -2910877.702248953)","00","ASUNCIÓN","00","ASUNCIÓN","0000","-6412064.492214794","-2910877.702248953"
"01","CONCEPCIÓN","01","CONCEPCIÓN","0101","POINT (-6393966.291682291 -2682864.340094416)","01","CONCEPCIÓN","01","CONCEPCIÓN","0101","-6393966.291682291","-2682864.340094416"
"01","CONCEPCIÓN","02","BELÉN","0102","POINT (-6374311.318857437 -2688938.2844113912)","01","CONCEPCIÓN","02","BELÉN","0102","-6374311.318857437","-2688938.2844113912"
"01","CONCEPCIÓN","03","HORQUETA","0103","POINT (-6351044.078356637 -2673525.920370435)","01","CONCEPCIÓN","03","HORQUETA","0103","-6351044.078356637","-2673525.920370435"
"01","CONCEPCIÓN","04","LORETO","0104","POINT (-6381669.060765701 -2665350.6607277244)","01","CONCEPCIÓN","04","LORETO","0104","-6381669.060765701","-2665350.6607277244"
"01","CONCEPCIÓN","05","SAN CARLOS DEL APA","0105","POINT (-6377446.63156135 -2541048.9691677615)","01","CONCEPCIÓN","05","SAN CARLOS DEL APA","0105","-6377446.63156135","-2541048.9691677615"
"01","CONCEPCIÓN","06","SAN LÁZARO","0106","POINT (-6452345.462573793 -2524519.906986918)","01","CONCEPCIÓN","06","SAN LÁZARO","0106","-6452345.462573793","-2524519.906986918"
"01","CONCEPCIÓN","07","YBY YAÚ","0107","POINT (-6293672.141087358 -2628408.7297652895)","01","CONCEPCIÓN","07","YBY YAÚ","0107","-6293672.141087358","-2628408.7297652895"
"01","CONCEPCIÓN","08","AZOTE'Y","0108","POINT (-6288104.541753887 -2669843.7402082006)","01","CONCEPCIÓN","08","AZOTE'Y","0108","-6288104.541753887","-2669843.7402082006"
"01","CONCEPCIÓN","09","SARGENTO JOSÉ FÉLIX LÓPEZ","0109","POINT (-6337332.438304158 -2557557.7869649185)","01","CONCEPCIÓN","09","SARGENTO JOSÉ FÉLIX LÓPEZ","0109","-6337332.438304158","-2557557.7869649185"
"02","SAN PEDRO","01","SAN PEDRO DEL YCUAMANDYYÚ","0201","POINT (-6354098.708196913 -2764357.143971321)","02","SAN PEDRO","01","SAN PEDRO DEL YCUAMANDYYÚ","0201","-6354098.708196913","-2764357.143971321"
"02","SAN PEDRO","02","ANTEQUERA","0202","POINT (-6367561.38150859 -2763539.0375451385)","02","SAN PEDRO","02","ANTEQUERA","0202","-6367561.38150859","-2763539.0375451385"
"02","SAN PEDRO","03","CHORÉ","0203","POINT (-6299048.808198217 -2776160.013194294)","02","SAN PEDRO","03","CHORÉ","0203","-6299048.808198217","-2776160.013194294"
"02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","0204","POINT (-6333997.169575436 -2807918.527536898)","02","SAN PEDRO","04","GENERAL ELIZARDO AQUINO","0204","-6333997.169575436","-2807918.527536898"
"02","SAN PEDRO","05","ITACURUBÍ DEL ROSARIO","0205","POINT (-6325558.688550816 -2818642.194915132)","02","SAN PEDRO","05","ITACURUBÍ DEL ROSARIO","0205","-6325558.688550816","-2818642.194915132"
"02","SAN PEDRO","06","LIMA","0206","POINT (-6287197.168673464 -2739398.6997670466)","02","SAN PEDRO","06","LIMA","0206","-6287197.168673464","-2739398.6997670466"
