"DPTO_x","DPTO_DESC_x","DISTRITO_x","DIST_DESC_x","NOMBRE_x","LONGITUD_x","LATITUD_x","geometry","DPTO_y","DPTO_DESC_y","DISTRITO_y","DIST_DESC_y","NOMBRE_y","LONGITUD_y","LATITUD_y","longitude","latitude"
"08","MISIONES","01","SAN JUAN BAUTISTA","COMISARIA 3 MBURIKA RETA","-57.10482","-26.71558","POINT (-6356879.50772016 -3087981.425179745)","08","MISIONES","01","SAN JUAN BAUTISTA","COMISARIA 3 MBURIKA RETA","-57.10482","-26.71558","-6356879.50772016","-3087981.425179745"
"02","SAN PEDRO","01","SAN PEDRO DEL YCUAMANDYYU","JEFATURA DEPARTAMENTAL","-57.08576","-24.0872","POINT (-6354757.989172793 -2764036.9025824754)","02","SAN PEDRO","01","SAN PEDRO DEL YCUAMANDYYU","JEFATURA DEPARTAMENTAL","-57.08576","-24.0872","-6354757.989172793","-2764036.9025824754"
"12","1EEMBUCU","06","GUAZU CUA","SUB COMISARIA YVAVIJU","-57.87139","-27.04615","POINT (-6442214.021020526 -3129238.7543723187)","12","1EEMBUCU","06","GUAZU CUA","SUB COMISARIA YVAVIJU","-57.87139","-27.04615","-6442214.021020526","-3129238.7543723187"
"10","ALTO PARANA","17","MBARACAYU","PUESTO POLICIAL N° 49 PROCOPIO","-54.61162","-24.97265","POINT (-6079338.020775405 -2872385.223252266)","10","ALTO PARANA","17","MBARACAYU","PUESTO POLICIAL N° 49 PROCOPIO","-54.61162","-24.97265","-6079338.020775405","-2872385.223252266"
"04","GUAIRA","03","MAURICIO JOSE TROCHE","SUB COMISARIA 3 CERRO PUNTA","-56.15574","-25.62211","POINT (-6251228.080004428 -2952351.888936814)","04","GUAIRA","03","MAURICIO JOSE TROCHE","SUB COMISARIA 3 CERRO PUNTA","-56.15574","-25.62211","-6251228.080004428","-2952351.888936814"
"10","ALTO PARANA","01","CIUDAD DEL ESTE","SUB COMISARIA N° 13 BARRIO REMANSITO.","-54.59864","-25.54505","POINT (-6077892.983335434 -2942841.2123251865)","10","ALTO PARANA","01","CIUDAD DEL ESTE","SUB COMISARIA N° 13 BARRIO REMANSITO.","-54.59864","-25.54505","-6077892.983335434","-2942841.2123251865"
"10","ALTO PARANA","15","SANTA ROSA DEL MONDAY","SUB COMISARIA N° 35 COLONIA CURUPAYTY","-54.9769","-25.84494","POINT (-6120000.048487081 -2979888.212975349)","10","ALTO PARANA","15","SANTA ROSA DEL MONDAY","SUB COMISARIA N° 35 COLONIA CURUPAYTY","-54.9769","-25.84494","-6120000.048487081","-2979888.212975349"
"10","ALTO PARANA","16","MINGA PORA","SUB COMISARIA N° 24 LIMOY","-54.90432","-24.82849","POINT (-6111920.540128201 -2854692.8843293004)","10","ALTO PARANA","16","MINGA PORA","SUB COMISARIA N° 24 LIMOY","-54.90432","-24.82849","-6111920.540128201","-2854692.8843293004"
"13","AMAMBAY","01","PEDRO JUAN CABALLERO","COMISARIA 2DA BARRIO GRAL DIAZ","-55.72596","-22.55392","POINT (-6203385.407092551 -2578161.3356901766)","13","AMAMBAY","01","PEDRO JUAN CABALLERO","COMISARIA 2DA BARRIO GRAL DIAZ","-55.72596","-22.55392","-6203385.407092551","-2578161.3356901766"
"10","ALTO PARANA","01","CIUDAD DEL ESTE","SUB COMISARIA N° 3 BARRIO SANTA ANA","-54.63534","-25.53347","POINT (-6081978.699923024 -2941413.468666744)","10","ALTO PARANA","01","CIUDAD DEL ESTE","SUB COMISARIA N° 3 BARRIO SANTA ANA","-54.63534","-25.53347","-6081978.699923024","-2941413.468666744"
