"clave","descri"
100,"ALTO VOLTA"
101,"ANGOLEÑA"
102,"ANGELINA"
103,"BENÍN"
104,"BESTWANA"
105,"BURKINA FASO"
106,"BURUNDI"
107,"CABOVERDIANA"
108,"CAMERUNESA"
109,"ISLA CANARIAS"
110,"CENTROAFRICANA"
111,"CONGOLEÑA"
112,"BAHOMETANA"
113,"EGIPCIA"
114,"ETIOPE"
115,"GABANA"
116,"GAMBIANA"
117,"GHANÉS"
118,"GUINEA"
119,"GUINEA BISSAU"
120,"GUINEA ECUATORIAL"
121,"HAITIANA"
122,"DJIBOUTI"
123,"KENIANA"
124,"LAS COMORES"
125,"LESOTHANO"
126,"LIBERIANA"
127,"LIBIA"
128,"MADAGASQUEÑA"
129,"MALAWÍ"
130,"MALÍ"
131,"MARROQUÍ"
132,"MAURICIANA"
133,"MAURITANA"
134,"MOZAMBIQUEÑA"
135,"NAMIBIANA"
136,"MGWANESA"
137,"NIGERINA"
138,"NIGERIANA"
139,"RHODESIANA"
140,"RWANDESA"
141,"SAN TOMÉ Y PRÍNCIPE"
142,"SENEGALESA"
143,"SIERRALEONÉS"
144,"SOMALÍ"
145,"SUDAFRICANA"
146,"SUDANESA"
147,"SURANÁN"
148,"TANZANESA"
149,"TOGO"
150,"TUNESINA"
151,"TUNICIANA"
152,"UGANDESA"
153,"ZAIREÑA"
154,"ZAMBIANA"
155,"ZIMBABWANA"
156,"SEYCHELLES"
200,"ANTILLAS MENOR"
201,"ARGENTINA"
202,"BAHAMESA"
203,"BÁRBARA"
204,"BERMEDAS"
205,"BOLIVIANA"
206,"BRASILEÑA"
207,"ISLAS CAIMÁN"
208,"CANADIENSE"
209,"CHILENA"
210,"COLOMBIANA"
211,"COSTARRICENSE"
212,"CUBANA"
213,"DOMINICANA"
214,"NORTEAMERICANA"
215,"ECUATORIANA"
216,"SALVADOREÑA"
217,"ISLA GRANADA"
218,"GROENLANDESA"
219,"GUATEMALTECA"
220,"GUYANÉS"
221,"HONDUREÑA"
222,"JAMAICANA"
223,"MEXICANA"
224,"NICARAGÜENSE"
225,"PANAMEÑA"
226,"PARAGUAYA"
227,"PERUANA"
228,"PORTORRIQUEÑA"
229,"SANTALUCIANA"
230,"TRINIDAD Y TOBAGO"
231,"URUGUAYA"
232,"VENEZOLANA"
233,"BELICEÑA"
300,"AFGANA"
301,"ÁRABE"
302,"BAHRAIMÍ"
303,"BANGLADESH"
304,"BIRMANIA"
305,"BORNEANA"
306,"BRUNEI"
307,"BUTANA"
308,"CAMBOYANA"
309,"CEILANESA"
310,"CHAD"
311,"CHINA"
312,"CHINA"
314,"COREANA"
317,"EMIRATOS ÁRABES UNIDOS"
318,"FILIPINA"
319,"HONG KONG"
320,"INDÚ"
321,"INDONESIA"
322,"IRANÍ"
323,"IRAKÍ"
324,"ISRAELÍ"
325,"JAPONESA"
326,"ISLA DE JAVA"
327,"JORDANA"
328,"KALIMATANESA"
329,"KUWAITI"
330,"LAOSIANA"
331,"LIBANESA"
332,"MALAYA"
333,"MALDIVESA"
334,"MONGOLESA"
335,"NEPALESA"
336,"OMONESA"
337,"PAKISTANÍ"
338,"QATARESA"
339,"SABAH"
340,"SARAWAKESA"
341,"SINGAPURENSE"
342,"SIRIA"
343,"SRI LANKA"
344,"SUMATRA"
345,"TAILANDESA"
346,"TAIWANESA"
347,"TURCA"
348,"RUSA"
349,"VIETNAMITA"
350,"YEMENITA"
351,"PALESTINA"
352,"KURDA"
353,"KAZAJSTÁN"
354,"ARMENIA"
355,"SAUDITA"
400,"ALBANA"
401,"ALEMANA DEMOCRÁTICA"
402,"ALEMANA"
403,"ANDORREÑA"
404,"AUSTRIACA"
405,"AZORESA"
406,"BELGA"
407,"BELARUSA"
408,"BÚLGARA"
409,"CHECA"
410,"CÓRCEGA"
411,"CHETENSE"
412,"DANESA"
413,"ESPAÑOLA"
414,"FINLANDESA"
415,"FRANCESA"
416,"GIBRALTAR"
417,"GRIEGA"
418,"HOLANDESA"
419,"HUNGARA"
420,"IP.SG."
421,"IRLANDESA"
422,"ISLANDESA"
423,"ITALIANA"
424,"LIECHTENSTEIN"
425,"LUXEMBURGUESA"
426,"MALTEÑA"
427,"MÓNACO"
428,"NORUEGA"
429,"POLACA"
430,"PORTUGUESA"
431,"BRITÁNICA"
432,"RUMANA"
433,"SAN MARINO"
434,"SAN VICENTE Y GRANADINAS"
435,"SICILIANA"
436,"SUECA"
437,"SUIZA"
438,"UCRANIANA"
439,"YUGOSLAVA"
440,"CROATA"
441,"ESLOVENIA"
442,"ESLOVACA"
443,"LITUANA"
444,"ESTONIA"
445,"BELARUS"
446,"GEORGIANA"
447,"LETONA"
500,"AUSTRALIANA"
501,"FIDJI"
502,"KIRIBATI"
503,"NAURU"
504,"NEO ZELANDESA"
505,"PAPUANA"
506,"TONGUESA"
600,"APATRIDA"
601,"NO SE CONOCE"
602,"ILEGIBLE"
997,"!OJO! DOBLE IDENTIDAD"
998,"OJO!! DOBLE NACIONALIDAD"
999,"PARAGUAYA NATURALIZADA"
