Codigo;Codigo de barras;Tipo;Marca;Descripción;Precio 1;Precio 2;Precio 3;Esta en oferta?;Peso;Stock;Capital;Sexo
2;8411061636275;Perfumes;Antonio Banderas;Blue Seduction;280.000,00;250.000,00;145.000,00;False;50;7;1.050.000,00;MASCULINO
3;8411061645406;Perfumes;Antonio Banderas;Spirit for Men (promo);280.000,00;238.000,00;224.000,00;False;75;0;0;MASCULINO
4;8411061552063;Perfumes;Antonio Banderas;Spirit for Men;280.000,00;238.000,00;224.000,00;False;50;0;0;MASCULINO
5;8411061561249;Perfumes;Antonio Banderas;Spirit for Women;280.000,00;238.000,00;224.000,00;False;50;0;0;FEMENINO
6;8411061292488;Perfumes;Antonio Banderas;Mediterráneo;250.000,00;212.500,00;200.000,00;False;50;0;0;MASCULINO
7;8411061771419;Perfumes;Antonio Banderas;Diavolo;250.000,00;212.500,00;200.000,00;False;50;0;0;MASCULINO
8;8411061770801;Perfumes;Antonio Banderas;Her Golden Secret;280.000,00;238.000,00;224.000,00;False;50;0;0;FEMENINO
9;8411061727935;Perfumes;Antonio Banderas;The Golden Secret;280.000,00;238.000,00;224.000,00;False;50;0;0;MASCULINO
10;8411061636206;Perfumes;Antonio Banderas;Blue Seduction for Women;280.000,00;238.000,00;224.000,00;False;50;0;0;FEMENINO
11;8411061027011;Perfumes;Antonio Banderas;Mediterráneo;350.000,00;297.500,00;280.000,00;False;100;0;0;MASCULINO
12;8411061784280;Perfumes;Antonio Banderas;King of Seduction;280.000,00;238.000,00;224.000,00;False;50;0;0;MASCULINO
13;8411061698594;Perfumes;Antonio Banderas;Seduction in Black;280.000,00;238.000,00;224.000,00;False;50;0;0;MASCULINO
14;5425017734321;Perfumes;New Brand Perfumes;Unic;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
15;5425017733560;Perfumes;New Brand Perfumes;Prestige US Army;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
16;5425017734277;Perfumes;New Brand Perfumes;Prestige Gold for Men;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
17;5425017736431;Perfumes;New Brand Perfumes;Prestige 4 Women Delicious;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
18;5425017734314;Perfumes;New Brand Perfumes;Prestige Gold for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
19;5425039220161;Perfumes;New Brand Perfumes;Prestige Invincible for Men;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
20;5425017735113;Perfumes;New Brand Perfumes;Prestige Ego Gold for Men;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
21;5425039220109;Perfumes;Master of New Brand;Essence Pink Gold for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
22;5425017735151;Perfumes;New Brand Perfumes;Fluo Pink for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
23;5425017731016;Perfumes;New Brand Perfumes;Prestige Extasia for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
24;5425017734468;Perfumes;New Brand Perfumes;In Love for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
25;5425017735939;Perfumes;Chic 'N Glam Perfumes;Elixir for Women;260.000,00;221.000,00;208.000,00;False;75;0;0;FEMENINO
26;5425017736004;Perfumes;Chic 'N Glam Perfumes;Ò de la Vie for Women;260.000,00;221.000,00;208.000,00;False;80;0;0;FEMENINO
27;5425017735137;Perfumes;New Brand Perfumes;Prestige Velvet for Women;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
28;7640111494324;Perfumes;Grès;Cabotine;240.000,00;204.000,00;192.000,00;False;30;0;0;FEMENINO
29;4004711262401;Perfumes;P&G Prestige Beauté;Gabriela Sabatini;260.000,00;221.000,00;208.000,00;False;30;0;0;FEMENINO
30;3355992000260;Perfumes;Ted Lapidus;Lapidus pour Homme;340.000,00;289.000,00;272.000,00;False;100;0;0;MASCULINO
31;3355992000246;Perfumes;Ted Lapidus;Lapidus pour Homme;260.000,00;221.000,00;208.000,00;False;30;0;0;MASCULINO
32;3355992002905;Perfumes;Ted Lapidus;pour lui;340.000,00;289.000,00;272.000,00;False;100;0;0;MASCULINO
33;3355992004596;Perfumes;Ted Lapidus;Rumba;460.000,00;391.000,00;368.000,00;False;100;0;0;FEMENINO
34;3351500981700;Perfumes;Azzaro;Azzaro pour Homme;290.000,00;246.500,00;232.000,00;False;30;0;0;MASCULINO
35;3326240027407;Perfumes;Ulric de Varens;Night;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
36;3607346551035;Perfumes;Adidas;Team Five Special Edition;260.000,00;221.000,00;208.000,00;False;100;0;0;MASCULINO
37;8002135088870;Perfumes;Ferrari Fragrances;Scuderia Ferrari;280.000,00;238.000,00;224.000,00;False;40;50;3.750.000,00;MASCULINO
38;8002135112018;Perfumes;Ferrari Fragrances;Scuderia Ferrari Black;280.000,00;238.000,00;224.000,00;False;40;0;0;MASCULINO
39;8411061823033;Perfumes;Shakira;Dance;290.000,00;246.500,00;232.000,00;False;50;0;0;FEMENINO
40;8411061810606;Perfumes;Shakira;Love Rock!;280.000,00;238.000,00;224.000,00;False;50;0;0;FEMENINO
41;8411061697290;Perfumes;Shakira;S (Clásico);280.000,00;238.000,00;224.000,00;False;50;0;0;FEMENINO
42;5425017732389;Perfumes;Parfums Des Champs;Cuba Original Gold for Men;240.000,00;204.000,00;192.000,00;False;100;0;0;MASCULINO
43;8431754340616;Perfumes;Jesús Del Pozo;Halloween;260.000,00;221.000,00;208.000,00;False;30;0;0;FEMENINO
44;3442151005829;Perfumes;Yves de Sistelle;Doriane;340.000,00;289.000,00;272.000,00;False;100;0;0;FEMENINO
45;6291103661791;Perfumes;Emper;Chifon;340.000,00;289.000,00;272.000,00;False;100;0;0;FEMENINO
46;6291103661784;Perfumes;Emper;SaGa;340.000,00;289.000,00;272.000,00;False;100;0;0;FEMENINO
47;3326240126612;Perfumes;Ulric de Varens;Jacques Saint Prés Indra;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
48;6291103661050;Perfumes;Emper;Privé Coral pour Femme;290.000,00;246.500,00;232.000,00;False;95;0;0;FEMENINO
49;6295124016752;Perfumes;Alta Moda;Eternal Dreams;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
50;8411061759066;Perfumes;Pacha Ibiza;Diva;280.000,00;238.000,00;224.000,00;False;80;0;0;FEMENINO
51;3243655312099;Perfumes;Christine Darvin;Aubana;340.000,00;289.000,00;272.000,00;False;100;0;0;FEMENINO
52;8715658997795;Perfumes;Omerta;Beautiful Pink;260.000,00;221.000,00;208.000,00;False;100;0;0;FEMENINO
53;679602212434;Perfumes;Mavive;Pino Silvestre Original;260.000,00;221.000,00;208.000,00;False;40;0;0;MASCULINO
54;892456000150;Perfumes;Animale Group;Animale for Men;260.000,00;221.000,00;208.000,00;False;30;0;0;MASCULINO
