MARCA;PRODUCTO;;COSTO;PRECIO
ADOLFO DOMÍNGUEZ;Agua de Bambú Hombre EDT 120ml *;;192,97;419,5
ADOLFO DOMÍNGUEZ;Agua de Sándalo Hombre EDT 120ml * caja defectuosa;;201,36;469,84
ADOLFO DOMÍNGUEZ;Agua fresca de Rosas Mujer EDT 120ml *;;226,53;520,18
ADOLFO DOMÍNGUEZ;Agua fresca de Rosas Blancas Mujer EDT 120ml *;;234,92;520,18
ADOLFO DOMÍNGUEZ;Agua fresca Hombre EDT 120ml *;;209,75;377,55
ADOLFO DOMÍNGUEZ;Azahar Mujer EDT 100ml *;;226,53;436,28
ADOLFO DOMÍNGUEZ;Bambú Hombre EDT 120ml *;;234,92;461,45
ADOLFO DOMÍNGUEZ;Bambú Mujer EDT 100ml *;;209,75;461,45
ADOLFO DOMÍNGUEZ;Té verde Mujer EDT 100ml *;;209,75;436,28
ADOLFO DOMÍNGUEZ;U Black Hombre EDT 75ml *;;209,75;377,55
ADOLFO DOMÍNGUEZ;U Blue Hombre EDT 100ml *;;209,75;377,55
ADOLFO DOMÍNGUEZ;U Mujer EDT 75ml *;;226,53;377,55
ADOLFO DOMÍNGUEZ;Vetiver Hombre EDT 120ml *;;209,75;495,01
ADOLFO DOMÍNGUEZ;Viaje a Ceylan Hombre EDT 100ml *;;226,53;461,45
ADOLFO DOMÍNGUEZ;Viaje a Ceylan Mujer EDT 100ml *;;234,92;461,45
ADOLFO DOMÍNGUEZ;Estuche U Mujer EDT 75ml + BL 75ml + DEO 50ml;;243,31;419,5
ANGEL SCHLESSER;Angel Schlesser Mujer EDP 100ml *;;285,26;637,64
ANGEL SCHLESSER;Angel Schlesser Mujer EDT 100ml *;;243,31;637,64
ANGEL SCHLESSER;Angel Schlesser Hombre EDT 125ml *;;209,75;570,52
ANGEL SCHLESSER;Angel Schlesser pour Elle Mujer EDP 100ml *;;243,31;646,03
ANGEL SCHLESSER;Essential Hombre EDT 100ml *;;243,31;587,3
ANGEL SCHLESSER;Essential Mujer EDP 100ml *;;268,48;587,3
ARMAND BASI;Armand Basi In Blue EDT 100ml Hombre;;276,87;503,4
ARMAND BASI;Basi Hombre EDT 125ml *;;234,92;553,74
AZZARO;Azzaro Chrome EDT 100ml Hombre *;;226,53;562,13
AZZARO;Azzaro Clásica Hombre EDT 100ml *;;251,7;562,13
AZZEDINE ALAÏA;Alaïa Mujer EDP 100ml *;;503,4;964,85
BALENCIAGA;Paris Mujer EDP 75ml *;;419,5;830,61
BRITNEY SPEARS;Believe EDP 100ml Mujer;;276,87;520,18
BRITNEY SPEARS;Fantasy Mujer EDP 100ml *;;234,92;511,79
BVLGARI;Aqva Marine Hombre EDT 100ml;;385,94;629,25
BVLGARI;BLV Mujer EDP 75ml *;;377,55;679,59
BVLGARI;BLV Hombre EDT 100ml *;;327,21;713,15
BVLGARI;BLV II Mujer EDP 75ml *;;360,77;788,66
BVLGARI;Bvlgari Man EDT 100ml *;;327,21;738,32
BVLGARI;Bvlgari Hombre EDT 100ml;;360,77;587,3
