Código De Barras;Marca;Producto;Peso (Ml);Costo;Precio;Sexo;Tipo;;;
2;Azzaro;Club N° 1;100;37.758;260.000;Masculino;;;;
3243655312099;Christine Darvin;Aubana;100;94.000;290.000;Femenino;;;;
3326240027407;Ulric De Varens;Night;100;56.000;260.000;Masculino;;;;
3326240126612;Ulric De Varens;Jacques Saint Prés Indra;100;50.000;260.000;Femenino;;;;
3331432800102;Parfums Café;Intenso By Café;30;51.000;260.000;Femenino;;;;
3349666007891;Paco Rabanne;1 Million;50;254.000;590.000;Masculino;;;;
3351500981700;Azzaro;Azzaro Pour Homme;30;95.000;290.000;Masculino;;;;
3355992000246;Ted Lapidus;Lapidus Pour Homme;30;66.000;260.000;Masculino;;;;
3355992000260;Ted Lapidus;Lapidus Pour Homme;100;95.000;320.000;Masculino;;;;
3355992002905;Ted Lapidus;Pour Lui;100;95.000;340.000;Masculino;;;;
3355992004596;Ted Lapidus;Rumba;100;950.000;460.000;Femenino;;;;
3442151005829;Yves De Sistelle;Doriane;100;81.000;340.000;Femenino;;;;
3607346551035;Adidas;Team Five Special Edition;100;53.000;260.000;Masculino;;;;
3607348556700;Calvin Klein;Eternity Aqua;100;220.500;650.000;Femenino;;;;
3700608300010;Gilles Cantuel;Arsenal Gold;100;100.000;380.000;Masculino;;;;
3700608300011;Gilles Cantuel;Arsenal Blue;100;100.000;380.000;Masculino;;;;
4004711262401;P&G Prestige Beauté;Gabriela Sabatini;30;75.500;260.000;Femenino;;;;
5425017731016;New Brand Perfumes;Prestige Extasia For Women;100;48.000;260.000;Femenino;;;;
5425017732389;Parfums Des Champs;Cuba Original Gold For Men;100;34.000;240.000;Masculino;;;;
5425017733560;New Brand Perfumes;Prestige Us Army;100;50.000;260.000;Masculino;;;;
5425017734277;New Brand Perfumes;Prestige Gold For Men;100;50.000;260.000;Masculino;;;;
5425017734314;New Brand Perfumes;Prestige Gold For Women;100;50.000;260.000;Femenino;;;;
5425017734321;New Brand Perfumes;Unic;100;48.000;260.000;Masculino;;;;
5425017734468;New Brand Perfumes;In Love For Women;100;44.000;260.000;Femenino;;;;
5425017735076;New Brand Perfumes;Prestige Princess Dreaming;100;51.000;260.000;Femenino;;;;
5425017735113;New Brand Perfumes;Prestige Ego Gold For Men;100;50.000;260.000;Masculino;;;;
5425017735137;New Brand Perfumes;Prestige Velvet For Women;100;48.000;260.000;Femenino;;;;
5425017735151;New Brand Perfumes;Fluo Pink For Women;100;48.000;260.000;Femenino;;;;
5425017735939;Chic 'N Glam Perfumes;Elixir For Women;75;56.000;260.000;Femenino;;;;
5425017736004;Chic 'N Glam Perfumes;Ò De La Vie For Women;80;56.000;260.000;Femenino;;;;
5425017736363;Parfums Des Champs;Cuba Royal For Men;100;33.540;240.000;Masculino;;;;
5425017736431;New Brand Perfumes;Prestige 4 Women Delicious;100;48.000;260.000;Femenino;;;;
5425039220109;Master Of New Brand;Essence Pink Gold For Women;100;56.000;260.000;Femenino;;;;
5425039220161;New Brand Perfumes;Prestige Invincible For Men;100;50.000;260.000;Masculino;;;;
6291103661050;Emper;Privé Coral Pour Femme;95;72.500;290.000;Femenino;;;;
6291103661784;Emper;Saga;100;81.000;340.000;Femenino;;;;
6291103661791;Emper;Chifon;100;81.000;340.000;Femenino;;;;
6295124016745;Alta Moda;Sweet Dreams;100;53.000;260.000;Femenino;;;;
6295124016752;Alta Moda;Eternal Dreams;100;53.000;260.000;Femenino;;;;
6552864323;Chanel;Chance;50;377.700;720.000;Femenino;;;;
679602212434;Mavive;Pino Silvestre Original;40;70.000;260.000;Masculino;;;;
6936711314751;Carlotta Zuofun;Brand Collection N° 001;25;48.000;240.000;Masculino;;;;
6936711314799;Carlotta Zuofun;Brand Collection N° 005;25;48.000;240.000;Masculino;;;;
6936711314829;Carlotta Zuofun;Brand Collection N° 008;25;48.000;240.000;Masculino;;;;
7640111494324;Grès;Cabotine;30;56.000;240.000;Femenino;;;;
8002135088870;Ferrari Fragrances;Scuderia Ferrari;40;81.000;280.000;Masculino;;;;
8002135112018;Ferrari Fragrances;Scuderia Ferrari Black;40;81.000;280.000;Masculino;;;;
8011003814305;Euroitalia;Cheap And Chic Moschino Chic Petals;100;215.000;590.000;Femenino;;;;
8410225518235;Ágata Ruiz De La Prada;Oh La La!;100;78.000;290.000;Femenino;;;;
8411061027011;Antonio Banderas;Mediterráneo;100;81.000;350.000;Masculino;;;;
8411061292488;Antonio Banderas;Mediterráneo;50;53.000;250.000;Masculino;;;;
8411061341803;Carolina Herrera;212 Men Nyc;30;120.000;390.000;Masculino;;;;
8411061401705;Puig;Agua Brava;100;81.000;280.000;Masculino;;;;
8411061552063;Antonio Banderas;Spirit For Men;50;61.210;280.000;Masculino;;;;
8411061552063;Antonio Banderas;Spirit For Men;50;62.000;280.000;Masculino;;;;
8411061558423;Carolina Herrera;212 Sexy;30;165.000;360.000;Femenino;;;;
8411061561249;Antonio Banderas;Spirit For Women;50;62.000;280.000;Femenino;;;;
8411061587911;Antonio Banderas;Antonio (Tester);100;73.000;280.000;Masculino;;;;
8411061636206;Antonio Banderas;Blue Seduction For Women;50;76.000;280.000;Femenino;;;;
8411061636275;Antonio Banderas;Blue Seduction;50;150.000;280.000;Masculino;;;;
8411061645406;Antonio Banderas;Spirit For Men (Promo);75;28.000;280.000;Masculino;;;;
8411061645407;Antonio Banderas;Spirit For Men (After Shave);30;28.000;150.000;Masculino;;;;
8411061697290;Shakira;S (Clásico);50;81.000;280.000;Femenino;;;;
8411061698594;Antonio Banderas;Seduction In Black;50;73.000;280.000;Masculino;;;;
8411061722756;Antonio Banderas;The Golden Secret;100;95.000;320.000;Masculino;;;;
8411061727935;Antonio Banderas;The Golden Secret;50;73.000;280.000;Masculino;;;;
8411061759066;Pacha Ibiza;Diva;80;70.000;280.000;Femenino;;;;
8411061770801;Antonio Banderas;Her Golden Secret;50;73.000;280.000;Femenino;;;;
8411061771419;Antonio Banderas;Diavolo;50;48.000;250.000;Masculino;;;;
8411061784280;Antonio Banderas;King Of Seduction;50;82.000;280.000;Masculino;;;;
8411061810606;Shakira;Love Rock!;50;81.000;280.000;Femenino;;;;
8411061823033;Shakira;Dance;50;81.000;290.000;Femenino;;;;
8411061833421;Antonio Banderas;Her Golden Secret Kit;80;114.595;420.000;Femenino;;;;
8411061860564;Antonio Banderas;The Secret Temptation;50;81.055;295.000;Masculino;;;;
8411061863954;Carolina Herrera;Chhc Privée;50;274.000;650.000;Femenino;;;;
8431754340616;Jesús Del Pozo;Halloween;30;72.500;260.000;Femenino;;;;
8431754501512;Jesús Del Pozo;Halloween Man Rock On;75;165.000;360.000;Masculino;;;;
855714004000;Stella Dustin;Self Pour Homme;100;92.235;340.000;Masculino;;;;
855714004017;Stella Dustin;La Priére;100;84.000;290.000;Femenino;;;;
85805114435;Elizabeth Arden;Red Door;30;116.000;360.000;Femenino;;;;
8715658997795;Omerta;Beautiful Pink;100;78.000;260.000;Femenino;;;;
892456000013;Animale Group;Animale For Women;30;81.000;260.000;Femenino;;;;
892456000150;Animale Group;Animale For Men;30;75.500;260.000;Masculino;;;;
;Adolfo Domínguez;Agua Fresca De Rosas Blancas;120;;;Mujer;Edt;;;
;Adolfo Domínguez;Agua Fresca De Rosas;120;;;Mujer;Edt;;;
;Adolfo Domínguez;Agua Fresca;120;;;Hombre;Edt;;;
;Adolfo Domínguez;Agua De Bambú;120;;;Hombre;Edt;;;
;Adolfo Domínguez;Agua De Sándalo;120;;;Hombre;Edt;;;
;Adolfo Domínguez;Azahar;100;;;Mujer;Edt;;;
;Adolfo Domínguez;Bambú Men;120;;;Hombre;Edt;;;
;Adolfo Domínguez;Bambú Women;120;;;Mujer;Edt;;;
;Adolfo Domínguez;Estuche U Women + Bl + Deo;75 + 50;;;Hombre;Edt;;;
;Adolfo Domínguez;Té Verde;120;;;Mujer;Edt;;;
;Adolfo Domínguez;U Black;75;;;Hombre;Edt;;;
;Adolfo Domínguez;U Blue;100;;;Hombre;Edt;;;
;Adolfo Domínguez;U Mujer;75;;;Mujer;Edt;;;
;Adolfo Domínguez;Vetiver Women;120;;;Hombre;Edt;;;
;Adolfo Domínguez;Viaje A Ceylan Men;100;;;Hombre;Edt;;;
;Adolfo Domínguez;Viaje A Ceylan Women;100;;;Mujer;Edt;;;
;Agent Provocateur;Agent Provocateur;100;8900;;Mujer;EDP;;;
;Agent Provocateur;Eau Emotionnelle;100;8900;;Mujer;EDT;;;
;Ambercrombie & Fitch;Authentic Homme;100;21.990;;;Edt;;;
;Ambercrombie & Fitch;Authentic Homme;100;24.490;;;Edt;;;
;Ambercrombie & Fitch;Authentic Woman;100;20.990;;;Edp;;;
;Ambercrombie & Fitch;Authentic Woman;100;24.490;;;Edp;;;
;Ambercrombie & Fitch;First Instinct;100;23.990;;Mujer;Edp;;;
;Angel Schlesser;Angel Schlesser Men;125;;;Hombre;Edt;;;
;Angel Schlesser;Angel Schlesser Women;100;;;Mujer;Edp;;;
;Angel Schlesser;Angel Schlesser Women;100;;;Mujer;Edt;;;
;Angel Schlesser;Angel Schlesser Pour Elle;100;;;Mujer;Edp;;;
;Angel Schlesser;Essential Men;100;;;Hombre;Edt;;;
;Angel Schlesser;Essential Women;100;;;Mujer;Edp;;;
;Angry Birds;King Pig (Chanchito);50;3.500;;Niño/A;EDT;;;
;Angry Birds;King Pig + Gel De Ducha Estuche;50 + 150;3.700;;Niño/A;EDT;;;
;Angry Birds;King Pig +Colgante + Block De Notas Est;50;3.700;;Niño/A;EDT;;;
;Angry Birds;Red Bird (Rojo);50;3.500;;Niño/A;EDT;;;
;Angry Birds;Red Bird + Gel De Ducha Est;50 + 150;3.700;;Niño/A;EDT;;;
;Angry Birds;Red Bird + Colgante +  Block De Notas;50;3.700;;Niño/A;EDT;;;
;Angry Birds;Yellow Bird (Amarillo);50;3.500;;Niño/A;EDT;;;
;Angry Birds;Yellow Bird + Colgante + Block De Notas;50;3.700;;Niño/A;EDT;;;
;Animale;Animale Black Men;100;12.000;;Hombre;edt;;;
;Animale;Animale Black Men;50;5.900;;Hombre;edt;;;
;Animale;Animale;100;19900;;Mujer;edp;;;
;Animale;Animale Intense Homme (Nuevo);100;12.900;;Hombre;edt;;;
;Animale;Animale Intense Women (Nuevo);100;14900;;Mujer;edp;;;
;Animale;Animale Love (Nuevo);100;14900;;Mujer;edp;;;
;Animale;Animale Men;100;15.900;;Hombre;edt;;;
;Animale;Animale Sport Men (Nuevo);100;12.900;;Hombre;edt;;;
;Animale;Animale Temptation;100;6500;;Mujer;edp;;;
;Animale;Animale Temptation Women;30;2900;;Mujer;edp;;;
;Animale;Animale Temptation Women;50;4900;;Mujer;edp;;;
;Animale;Animale;100;;19.900;Mujer;Edp;;;
